product_name	allergens	countries_en	nutriscore_grade	energy-kcal_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	proteins_100g	level_1	level_2	level_3
Millet & flax bagels		United States	a	269.0	3.49	0.0	52.33	1.16	6.98	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Millet & Flax Pita Pockets	en:gluten	United States	a	298.0	3.57	0.0	53.6	5.95	8.33	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Elbow enriched macaroni product		United States		382.0	1.82	0.0	76.36	3.64	12.73	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Young spinach		United Kingdom	a	30.0	0.8	0.1	1.5	1.5	2.8	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
vinaigrette		United States	d	300.0	23.333333333333	3.3333333333333	13.333333333333	13.333333333333	0.0	condiments	sauces	groceries
La Baguette		United States		100.0			20.0		4.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
4 British Baking Potatoes		United Kingdom	a	91.4	0.103	0.0571	19.6	0.914	1.89	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Pataks paste biryani		United States	c	266.66666666667	20.0	0.0	20.0	6.6666666666667	6.6666666666667	condiments	sauces	groceries
Medium madras curry spice paste		United States	c	267.0	23.33	0.0	20.0	0.0	6.67	condiments	sauces	groceries
Pataks tikka masala paste	en:mustard	United States	c	26.666666666667	23.333333333333	0.0	13.333333333333	0.0	0.0	condiments	sauces	groceries
Mild dopiaza curry simmer sauce		United States	b	71.0	4.29	0.0	8.57	5.71	1.43	condiments	sauces	groceries
Medium jalfrezi curry simmer sauce		United States	c	100.0	5.71	0.71	11.43	5.71	1.43	condiments	sauces	groceries
Medium tikka masala curry simmer sauce	en:milk	United States	b	71.0	5.0	0.71	8.57	4.29	1.43	condiments	sauces	groceries
Mild korma curry simmer sauce	en:milk	United States	c	143.0	11.43	6.43	11.43	7.14	1.43	condiments	sauces	groceries
 cardamom & spices medium simmer sauce		United States	b	64.0	2.86	0.0	10.0	4.29	1.43	condiments	sauces	groceries
Patak mango chicken sauce		United States	b	85.714285714286	4.2857142857143	0.0	15.714285714286	8.5714285714286	1.4285714285714	condiments	sauces	groceries
Mild butter chicken curry spice paste		United States	d	156.0	0.0	0.0	37.5	18.75	0.0	condiments	sauces	groceries
Simmer sauce for spicy butter chicken		United States	c	93.75	6.25	2.34375	12.5	6.25	1.5625	condiments	sauces	groceries
Medium rogan josh curry spice paste		United States	c	266.66666666667	23.333333333333	0.0	20.0	0.0	6.6666666666667	condiments	sauces	groceries
 simmer sauce, hot & spicy tikka masala		United States	c	93.0	7.14	1.43	7.14	4.29	1.43	plant-based-foods-and-beverages	plant-based-foods	condiments
Hot jalfrezi spicy curry simmer sauce	en:mustard	United States	b	100.0	7.14	0.71	11.43	5.71	1.43	condiments	sauces	groceries
Garlic puree		United States		200.0	20.0	0.0	20.0		0.0	condiments	sauces	groceries
Northern Gold Steel Cut Oats		United States	a	375.0	6.25	0.0	67.5	2.5	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 tipsy, tapas - cheese stuffed sweet peppers	en:milk	United States	c	435.0	43.48	6.52	13.04	4.35	4.35	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 bella sweets super sweet mini peppers		United States	a	40.0	0.2	0.0	8.0	6.0	1.0	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Rise & Bake White Bread	en:gluten	United States	b	240.0	2.0	0.0	48.0	2.0	6.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Ribbon Pasta Enriched Macaroni Product		United States	a	357.14285714286	1.7857142857143	0.0	75.0	3.5714285714286	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Bowties farfalle		United States		357.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched Spaghetti Product		United States	a	357.14285714286	1.7857142857143	0.0	75.0	3.5714285714286	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Rigatoni enriched macaroni product		United States		357.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Distilled White All Purpose Vinegar		United States	b	0.0	0.0	0.0	0.0	0.0	0.0	condiments	sauces	groceries
Sliced white hotdog buns		United States	c	282.05128205128	2.5641025641026	0.0	51.282051282051	5.1282051282051	7.6923076923077	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched Self-Rising Flour		United States	d	333.0	0.0	0.0	76.67	0.0	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched all purpose flour		United States	a	333.0	0.0	0.0	73.33	3.33	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched self rising flour bleached		United States	d	333.0	0.0	0.0	76.67	0.0	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Toasted flakes cereal honey oat	en:nuts	United States	b	400.0	6.25	0.0	82.5	17.5	7.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Thin enriched spaghetti product		United States		357.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Large shell pasta		United States		357.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Elbow macaroni enriched product		United States		357.0	1.79	0.0	73.21	3.57	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Best Choice Pancake and Waffle Syrup		United States	d	366.66666666667	0.0	0.0	90.0	56.666666666667	0.0	sweeteners	syrups	simple-syrups
Crystal White Corn Syrup		United States	d	400.0	0.0	0.0	96.666666666667	33.333333333333	0.0	sweeteners	syrups	simple-syrups
Beans in chili sauce		United States	a	92.0	0.77	0.0	14.62	0.77	5.38	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
cut spears asparagus		United States	a	18.75	0.0	0.0	2.5	0.0	1.6666666666667	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Italian fat free dressing		United States	d	50.0	0.0	0.0	10.0	6.6666666666667	0.0	condiments	sauces	groceries
Cut leaf spinach table staples		United States	a	30.0	0.0	0.0	3.0	1.0	2.0	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Chili red beans in chili sauce		United States	a	77.0	0.38	0.0	14.62	0.77	4.62	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Dark pitted sweet cherries		United States	b	64.0	0.0	0.0	15.71	12.86	0.71	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 sliced peaches, pineapple chunks and red seedless grapes, mixed fruit		United States	b	50.0	0.0	0.0	12.14	9.29	0.71	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Cut red rhubarb		United States	a	21.0	0.0	0.0	5.0	1.43	0.71	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Brown & spicy mustard		United States		100.0	0.0		0.0		0.0	condiments	sauces	groceries
Concentrated orange juice		United States	c	183.0	0.0	0.0	45.0	40.0	1.67	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 concentrated juice		United States	c	183.0	0.0	0.0	45.0	40.0	1.67	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Four cheese mashed potatoes with perfect blend of cheeses	en:milk	United States	d	364.0	0.0	0.0	77.27	4.55	9.09	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Puffed wheat cereal	en:gluten	United States	d	395.0	1.32	0.0	89.47	55.26	5.26	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Frosted flakes sweetened cereal		United States	d	350.0	0.0	0.0	82.5	35.0	5.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 sugar puffed wheat		United States	c	400.0	0.0	0.0	90.0	50.0	7.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Honey puffs sweetened oat & corn cereal		United States	d	450.0	2.5	0.0	87.5	30.0	7.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 marshmallow glitters		United States	d	375.0	3.75	0.0	80.0	35.0	7.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Yellow enriched corn meal		United States	a	367.0	1.67	0.0	80.0	0.0	6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 western style	en:mustard	United States	e	533.0	40.0	6.67	40.0	36.67	0.0	condiments	sauces	groceries
Colored distilled vinegar		United States	b	0.0	0.0	0.0	0.0	0.0	0.0	condiments	sauces	groceries
Creamy natural peanut butter	en:peanuts	United States	a	190.1	16.0	2.0	7.0	2.0	8.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Pancake & waffle syrup (butter pecan)		United States	d	400.0	0.0	0.0	100.0	70.0	0.0	sweeteners	syrups	simple-syrups
Monterey jack queso	en:milk	United States	d	167.0	11.67	3.33	13.33	3.33	3.33	condiments	sauces	groceries
Cinnamon crunch sweetened wheat & rice cereal		United States	d	414.63414634146	14.634146341463	0.0	34.146341463415	29.268292682927	17.073170731707	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Southern style purple hull peas		United States	a	148.0	0.62	0.0	27.16	0.0	9.88	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Roasted & salted party peanuts	en:peanuts	United States	d	600.0	53.333333333333	8.3333333333333	16.666666666667	3.3333333333333	26.666666666667	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Sweet & tangy honey barbecue sauce		United States	e	189.18918918919	0.0	0.0	45.945945945946	40.540540540541	0.0	condiments	sauces	groceries
Grill style southern bbq beans		United States	a	131.0	0.38	0.0	26.15	12.31	5.38	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Jumbos Biscuits		United States	d	298.0	10.53	2.63	45.61	7.02	5.26	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Organic Super Sweet Cut Corn		United States	a	111.0	1.11	0.0	23.33	8.89	3.33	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Organic black eye peas		United States	a	83.0	0.42	0.0	15.0	0.0	5.0	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Organic refried beans vegetarian		United States	a	77.0	0.0	0.0	14.62	0.77	4.62	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Organic Zesty Italian Dressing & Marinade		United States	e	400.0	43.33	6.67	3.33	0.0	0.0	condiments	sauces	groceries
Organic Refried Black Beans		United States	a	100.0	0.77	0.0	16.92	0.77	6.15	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 organic cinnamon toast squares cereal		United States	c	333.0	0.0	0.0	85.19	29.63	7.41	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 right choice, crispy rice and wheat flakes, fruit & yogurt		United States	c	375.0	3.12	0.0	84.38	31.25	6.25	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Chipotle Pinto Beans		United States	a	77.0	0.0	0.0	14.62	0.77	4.62	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Enriched egg noodles made with durum flour and egg yolks	en:gluten	United States	a	382.0	4.55	0.91	70.91	3.64	14.55	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Wild blueberries		United States	a	57.0	0.0	0.0	13.57	7.14	0.71	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Clearly organic old fashioned whole grain rolled oatmeal		United States	a	375.0	7.5	0.0	67.5	2.5	0.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Enriched & Bleached All-Purpose Flour		United States	a	333.0	0.0	0.0	73.33	3.33	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Pepper Strips		United States	a	24.0	0.0	0.0	4.71	1.18	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Cantonese-Style Vegetables		United States	a	41.0	0.0	0.0	9.41	2.35	2.35	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Thai-Style Vegetables		United States	a	29.0	0.0	0.0	7.06	2.35	2.35	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 deluxe great northern beans		United States	a	88.0	0.44	0.0	15.04	0.88	5.31	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 Deluxe Pinto Beans		United States	a	88.0	0.44	0.0	15.93	0.88	4.42	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 deluxe mixed beans		United States	a	97.0	0.58	0.0	17.7	0.88	5.31	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Real mexican style sauce		United States		0.0	0.0	0.0	0.0		0.0	condiments	sauces	groceries
Fine barley		United States	a	356.0	0.0		77.78	2.22	8.89	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Best maid dill juice		United States	c	0.0	0.0	0.0	0.0	0.0	0.0	condiments	sauces	groceries
New york cheese and garlic texas toast croutons		United States	d	500.0	28.57	0.0	57.14	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
The Original Texas Toast Zesty Italian Croutons	en:gluten,en:milk	United States	d	500.0	14.29	0.0	57.14	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Slivered Almonds Dried Cranberries & Sunflower Seeds	en:milk	United States	c	455.0	31.82	0.0	45.45	27.27	9.09	condiments	sauces	groceries
Texas toast croutons seasoned	en:gluten,en:milk	United States	d	500.0	14.29	0.0	57.14	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Aged Parmesan Ranch Dressing With Creamy Buttermilk		United States	e	467.0	46.67	8.33	6.67	3.33	3.33	condiments	sauces	groceries
Creamy Italian Dressing With Cracked Peppercorns		United States	e	429.0	46.43	7.14	7.14	3.57	0.0	condiments	sauces	groceries
Honey dijon		United States	e	433.0	40.0	6.67	20.0	16.67	0.0	condiments	sauces	groceries
Lite Slaw Dressing		United States	e	273.0	21.21	3.03	21.21	21.21	0.0	condiments	sauces	groceries
 real bacon spinach salad dressing		United States	d	194.0	4.17	0.0	36.11	33.33	0.0	condiments	sauces	groceries
Honey French Dressing		United States	d	235.0	10.29	1.47	35.29	32.35	0.0	condiments	sauces	groceries
 classic mustard		United States	d	100.0	0.0		0.0	0.0	0.0	condiments	sauces	groceries
 old no.7 jalapeno mustard whiskey		United States		100.0	0.0		0.0	0.0	0.0	condiments	sauces	groceries
Asiago peppercorn dressing		United States	e	500.0	53.333333333333	10.0	6.6666666666667	3.3333333333333	3.3333333333333	condiments	sauces	groceries
Light Original Slaw Dressing		United States	e	273.0	21.21	3.03	21.21	21.21	0.0	condiments	sauces	groceries
Honey french light dressing		United States	d	228.57142857143	10.0	1.4285714285714	34.285714285714	31.428571428571	0.0	condiments	sauces	groceries
Ranch! Veggie Dip		United States	e	366.67	40.0	10.0	6.67	3.33	3.33	condiments	sauces	groceries
 finishing sauce for cooked vegetables		United States	d	118.0	0.0	0.0	23.53	17.65	0.0	condiments	sauces	groceries
Raspberry cabernet vinaigrette		United States	d	182.0	9.09	0.0	21.21	21.21	0.0	condiments	sauces	groceries
 organic caesar dressing		United States	e	467.0	50.0	8.33	3.33	3.33	0.0	condiments	sauces	groceries
Light blue cheese dressing		United States	d	258.0	22.58	4.84	9.68	6.45	6.45	condiments	sauces	groceries
Light viniagrette		United States	c	129.0	9.68	0.0	6.45	6.45	0.0	condiments	sauces	groceries
Sriracha ranch		United States	d	333.0	33.33	3.33	6.67	3.33	0.0	condiments	sauces	groceries
Tuscan italian vinaigrette		United States	d	258.0	25.81	3.23	9.68	6.45	0.0	condiments	sauces	groceries
Simply dressed vinaigrette		United States	d	267.0	26.67	3.33	6.67	3.33	0.0	condiments	sauces	groceries
Simply 60 dijon honey mustard		United States	c	193.54838709677	14.516129032258	0.0	12.903225806452	12.903225806452	0.0	condiments	sauces	groceries
Simply dressed lemon vinaigrette		United States	d	300.0	30.0	1.67	6.67	3.33	0.0	condiments	sauces	groceries
Simply balsamic vinaigrette salad dressing	en:milk	United States	d	187.5	9.38	0.0	18.75	15.63	3.13	condiments	sauces	groceries
Glaze! for strawberries		United States	c	120.0	0.0	0.0	32.0	26.0	0.0	sweeteners	syrups	simple-syrups
 olde venice italian dressing		United States	e	400.0	43.33	6.67	6.67	3.33	0.0	condiments	sauces	groceries
 garlic & onion croutons		United States	d	357.0	0.0	0.0	71.43	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Ranch Croutons		United States	d	500.0	28.57	0.0	57.14	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Whole Grain		United States	d	500.0	28.57	0.0	57.14	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 tortilla strips, sea salt, cracked pepper		United States	d	500.0	28.57	0.0	57.14	0.0	14.29	condiments	sauces	groceries
 greek feta vinaigrette		United States	d	333.0	36.67	5.0	3.33	3.33	0.0	condiments	sauces	groceries
Light Champagne Dressing		United States	d	194.0	16.13	1.61	6.45	3.23	0.0	condiments	sauces	groceries
 premium light caesar dressing		United States	d	258.0	22.58	4.84	6.45	6.45	3.23	condiments	sauces	groceries
Creamy balsamic vinaigrette		United States	c	156.0	9.38	0.0	15.62	12.5	0.0	condiments	sauces	groceries
Marzetti Greek Vinaigrette		United States	e	511.62790697674	55.813953488372	9.3023255813953	2.3255813953488	2.3255813953488	0.0	condiments	sauces	groceries
Spicy Garlic Sauce		United States	c	145.16129032258	12.903225806452	1.6129032258065	6.4516129032258	0.0	0.0	condiments	sauces	groceries
Wide egg noodles enriched durum flour		United States	a	393.0	6.25	1.79	69.64	1.79	16.07	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Extra wide enriched durum flour egg noodles		United States	a	393.0	6.25	1.79	69.64	1.79	16.07	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Homestyle extrathick kluski egg noodles		United States	a	393.0	6.25	1.79	69.64	1.79	16.07	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Foxs ubet chocolate syrup sugarfree		United States	a	78.125	1.5625	0.0	25.0	0.0	3.125	sweeteners	syrups	simple-syrups
StOkelys		United States	unknown	36.0	0.0	0.0	5.6	1.6	0.8	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 large		United States	a	382.0	4.55	0.91	70.91	3.64	14.55	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Enriched Noodle Product		United States	a	382.0	4.55	0.91	70.91	3.64	14.55	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 soup croutons		United States	unknown	487.0	30.0	23.33	50.0		6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Peter Pan, All Purpose Flour		United States	a	367.0	1.67	0.0	73.33	0.0	10.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 hot sliced jalapeno peppers		United States	not-applicable	67.0	0.0	0.0	13.33		0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
 simmer francese sauce		United States	c	106.0	9.73	4.42	2.65	1.33	0.0	condiments	sauces	groceries
 marsala sauce for chicken and veal, gourmet cooking sauces		United States	b	62.0	1.77	0.88	8.85	2.65	2.65	condiments	sauces	groceries
 chianti wine marinara sauce		United States	a	66.0	4.42	0.0	5.31	2.65	0.88	condiments	sauces	groceries
 real cream alfredo sauce		United States	d	131.0	11.48	6.56	4.92	1.64	1.64	condiments	sauces	groceries
Low sodium fradiavolo sauce		United States	a	62.0	3.54	0.0	5.31	3.54	1.77	condiments	sauces	groceries
 Victoria Vegan, Vodka Sauce		United States	b	128.0	10.8	1.5	6.9	4.34	1.86	condiments	sauces	groceries
Arugula Pesto Vegan Alfredo Sauce		United States	c	107.0	8.2	1.64	6.56	3.28	3.28	condiments	sauces	groceries
Slow cooked arrabbiata spicy & flavorful blend		United States	c	62.0	3.54	0.0	5.31	3.54	1.77	condiments	sauces	groceries
whole carrots		United States	a	38.461538461538	0.0	0.0	8.974358974359	6.4102564102564	1.2820512820513	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 limeade		United States	d	222.0	0.0	0.0	55.56	55.56	0.0	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 peaches, red seedless grapes, pineapple, mixed fruit		United States	b	52.0	0.0	0.0	12.26	9.68	0.65	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Berry medley strawberries		United States	a	54.054054054054	0.33783783783784	0.0	12.162162162162	7.4324324324324	0.67567567567568	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Fresh frozen sliced rhubarb		United States	a	22.0	0.0	0.0	5.11	1.46	0.73	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
individual pizza crust	en:gluten	United States	a	298.24561403509	5.2631578947368	0.0	54.385964912281	1.7543859649123	8.7719298245614	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 green beans, corn & peas, mixed vegetables		United States	a	56.0	0.0	0.0	12.22	4.44	2.22	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Steamable whole green beans		United States	a	36.144578313253	0.0	0.0	7.2289156626506	1.2048192771084	1.2048192771084	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Steamable florets broccoli		United States	a	24.0	0.0	0.0	4.71	1.18	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 carrots, onions & celery, vegetable stew mix	en:celery	United States	a	50.0	0.0	0.0	11.25	2.5	1.25	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Oriental vegetable stir fry green beans		United States	a	8.8235294117647	0.0	0.0	1.7647058823529	0.58823529411765	0.29411764705882	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Garden Vegetable With Garlic Herb Seasoning		United States	a	61.0	0.43	0.0	10.43	2.61	1.74	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Steam able brussels sprouts with butter sauce	en:gluten,en:milk	United States	a	52.0	0.87	0.0	8.7	2.61	3.48	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Steamable diced butternut squash		United States	a	59.0	0.0	0.0	14.12	2.35	1.18	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 extra virgin olive oil and seasoning, garlic parsley cauliflower		United States	a	32.0	0.91	0.0	4.55	1.82	1.82	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Onion jumbo bagels	en:gluten	United States	b	266.0	1.6	0.0	54.26	2.13	10.64	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 sweetened oat cereal with marshmallows, marshmallows		United States	d	400.0	3.33	0.0	90.0	43.33	6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 crispy french fried	en:gluten	United States		643.0	50.0	14.29	42.86		0.0	condiments	sauces	groceries
Crispy french fried onions	en:gluten	United States	e	642.85714285714	50.0	14.285714285714	28.571428571429	0.0	14.285714285714	condiments	sauces	groceries
Graham cracker ready to eat pie crust	en:gluten	United States	e	524.0	28.57	19.05	57.14	23.81	4.76	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Chickpeas garbanzo beans		United States	a	92.0	1.54	0.0	15.38	0.77	4.62	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
No salt added pinto beans		United States	a	85.0	0.0	0.0	15.38	0.77	5.38	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Stewed mexican tomatoes		United States	a	28.0	0.0	0.0	5.69	4.07	0.81	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 celery & pepper, onion, celery & pepper		United States	a	33.0	0.0	0.0	7.32	5.69	0.81	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Smooth And Delicious Creamy Peanut Butter		United States	c	562.5	46.88	7.81	25.0	9.38	21.88	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
Reduced Salt & Sugar Creamy Peanut Butter		United States	a	594.0	50.0	7.81	21.88	6.25	21.88	plant-based-foods-and-beverages	plant-based-foods	legumes-and-their-products
 4 corner crunch, multi-grain cereal, cinnamon		United States	c	375.0	3.12	0.0	81.25	25.0	9.38	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 hearty wheat & bran flakes cereal, raisin		United States	d	339.0	1.69	0.0	79.66	33.9	8.47	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 sweetened corn & oat cereal, mighty berry curnch		United States	d	400.0	5.0	0.0	86.67	43.33	3.33	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 rice biscuits		United States	d	370.0	0.0	0.0	85.19	7.41	7.41	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Corn biscuits toasted cereal		United States	d	367.0	0.0	0.0	86.67	10.0	6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 onion dressing, onion		United States	d	300.0	15.0	1.67	36.67	33.33	0.0	condiments	sauces	groceries
Italian Seasoned Croutons	en:soybeans	United States	d	428.57	14.29	0.0	71.43	0.0	14.29	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Apple Cider Flavored Vinegar		United States	b	0.0	0.0	0.0	0.0	0.0	0.0	condiments	sauces	groceries
Butter Artificially Flavored Syrup		United States	d	333.33333333333	0.0	0.0	86.666666666667	56.666666666667	0.0	sweeteners	syrups	simple-syrups
Lite butter flavored syrop		United States	d	166.66666666667	0.0	0.0	43.333333333333	40.0	0.0	sweeteners	syrups	simple-syrups
Premium Guacamole Seasoning Mix		United States	not-applicable	278.0	0.0	0.0	55.56	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
 pb cocoa planets	en:peanuts	United States	d	414.0	10.34	1.72	75.86	34.48	6.9	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 natural rolled quick oats		United States	a	375.0	6.25	1.25	67.5	0.0	12.5	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Instant oatmeal lower sugar maple & brown sugar flavor		United States	c	352.94	5.88	0.0	70.59	11.76	11.76	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 crispy rice & wheat flakes with strawberries, strawberries		United States	c	355.0	0.0	0.0	87.1	29.03	6.45	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Instant buttery homestyle mashed potatoes	en:milk	United States	d	357.14285714286	5.3571428571429	3.5714285714286	75.0	3.5714285714286	7.1428571428571	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 crispy hexagons		United States	d	379.0	0.0	0.0	89.66	13.79	6.9	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 loaded baked potato	en:milk,en:soybeans	United States	c	357.0	3.57	1.79	75.0	3.57	7.14	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Graham cracker cereal		United States	d	400.0	10.0	0.0	76.67	33.33	6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Frosted Whole Grain Oat Cereal With Marshmallow		United States	d	400.0	3.33	0.0	83.33	40.0	6.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
